一刀両断,いっとうりょうだん,決断がきっぱりとしていて、迷いがない様子。
一天四海,いってんしかい,世界中を意味する、広範囲を示す表現。
一片氷心,いっぺんひょうしん,心が清らかで、何ものにも染まらない状態。
一騎当千,いっきとうせん,一人で多くの敵に立ち向かえるほどの強さを持つこと。
不朽不滅,ふきゅうふめつ,永遠に存在し続けること。
伏龍鳳雛,ふくりょうほうすう,まだその才能が認められていないが、将来有望な人物。
光陰流水,こういんりゅうすい,時間が経つのは早く、止めることができないという比喩。
力戦奮闘,りきせんふんとう,全力を尽くして挑戦すること。
厳塞要徼,げんさいようきょう,防御が固く、容易には突破できない堅固な状態。
古今無双,ここんむそう,昔も今も比べる者がいないほど、唯一無二であること。
合縁奇縁,あいえんきえん,不可思議な巡り合わせによって結ばれる関係。
天下無双,てんかむそう,この世で比類のないほどの素晴らしさ。
天壌無窮,てんじょうむきゅう,永遠に続くこと。
天空海濶,てんくうかいかつ,心が広く、小さなことにこだわらない様子。
天衣無縫,てんいむほう,自然体であり、作為がないこと。
奇怪千万,きかいせんばん,非常に珍しく、理解し難いこと。
孔明臥竜,こうめいがりゅう,隠れた才能を持つが、まだ世に出ていない人物。
山紫水明,さんしすいめい,自然の美しさを表す、山が青く水が澄んでいる風景。
広大無辺,こうだいむへん,果てしなく広がっていること。
怪力乱神,かいりきらんしん,理解を超えた不思議な力や現象。
撼天動地,かんてんどうち,大きな影響力を持ち、世の中を大きく動かすこと。
明鏡止水,めいきょうしすい,心が穏やかで、波立つことのない状態。
暗黒沈静,あんこくちんせい,闇に包まれ、静かで動きがない様子。
森羅万象,しんらばんしょう,宇宙に存在するあらゆるものごと。
水月鏡花,すいげつきょうか,実体のない幻想的なもののたとえ。
獅子奮迅,ししふんじん,勢いよく活動する様。
画竜点睛,がりゅうてんせい,最後の一手で作品に命を吹き込むこと。
疑心暗鬼,ぎしんあんき,疑うことで余計な恐怖を感じること。
疾風迅雷,しっぷうじんらい,行動が素早く、迅速なこと。
百戦百勝,ひゃくせんひゃくしょう,どんな戦いも負けることなく勝つこと。
