悪口雑言,あっこうぞうごん,人の悪口や無意味な言葉。
悪戦苦闘,あくせんくとう,困難に立ち向かい苦しみながらも戦うこと。
暗中模索,あんちゅうもさく,手がかりがなく試行錯誤すること。方法や解決策を手探りで探すこと。
以心伝心,いしんでんしん,言葉を交わさずとも心で通じ合うこと。
意気消沈,いきしょうちん,元気がなくなり気落ちすること。
意気投合,いきとうごう,互いの気持ちがぴったりと合うこと。
意味深長,いみしんちょう,言葉や行動に深い意味が含まれていること。
異口同音,いくどうおん,みんなが口を揃えて同じことを言うこと。
一意専心,いちいせんしん,一つのことに心を集中して他に心を向けないこと。一つのことに心を集中すること。
一期一会,いちごいちえ,一生に一度だけの出会いを大切にする意味。
一刻千金,いっこくせんきん,ひとときの時間の価値が非常に大きいこと。
一触即発,いっしょくそくはつ,少しの刺激で大きな事態が起こりそうな状態。
一心不乱,いっしんふらん,ひとつのことに集中して、他のことに心がそれない状態。
一石二鳥,いっせきにちょう,一つの行動で二つの利益を得ること。
一日千秋,いちじつせんしゅう,一日が千年にも等しく感じるほど、待ち遠しい気持ち。
一網打尽,いちもうだじん,一度に全てを捕らえるまたは解決すること。
一陽来復,いちようらいふく,暗い時期が過ぎ去り、再び明るい時期が訪れること。
因果応報,いんがおうほう,善悪の行いがその結果として自分に返ってくること。
雲散霧消,うんさんむしょう,雲や霧が散るように、物事がすっかりなくなること。
栄枯盛衰,えいこせいすい,栄えたり衰えたりすること。
遠水近火,えんすいきんか,直接的な解決にはならない遠回りの対策。
温故知新,おんこちしん,古いものを学び新しい知識を得ること。
果報は寝,待て（かほうはねてまて,努力した結果は焦らず待てば自然と訪れるという意味。
画餅充飢,がへいじゅうき,形だけで実際の役には立たないこと。
画竜点睛,がりょうてんせい,最後の一筆で作品に命を吹き込むこと。
臥薪嘗胆,がしんしょうたん,苦労や恨みを忘れず、復讐や目標達成のために努力すること。
海千山千,うみせんやません,世の中の経験を積んでずる賢いこと。世間の経験が豊富で抜け目ないこと。
開口一番,かいこういちばん,物事の始まりに最初に言うこと。物事を始める際の最初の言葉。
隔世遺伝,かくせいいでん,代を隔てて先祖の特徴が現れること。
乾坤一擲,けんこんいってき,運命をかけた大勝負をすること。
気炎万丈,きえんばんじょう,非常に勢いのある様子。
起死回生,きしかいせい,絶望的な状況から逆転すること。
